Time (s),Speed (m/s)
0.7491,10.769
1.9014,19.0459
1.464,23.7255
1.1973,13.1807
0.312,5.8877
0.312,6.0004
0.1162,2.4385
1.7324,19.6758
1.2022,15.1433
1.4161,13.6551
0.0412,4.3366
1.9398,25.5371
1.6649,14.9023
0.4247,6.3761
0.3636,7.8883
0.3668,5.1269
0.6085,12.7344
1.0495,13.6383
0.8639,7.0739
0.5825,10.7276
1.2237,17.4302
0.279,6.0727
0.5843,5.6209
0.7327,10.6526
0.9121,15.064
1.5704,14.6642
0.3993,7.4697
1.0285,11.9174
1.1848,11.8316
0.0929,1.3809
1.2151,6.0145
0.341,3.7452
0.1301,3.5818
1.8978,15.0916
1.9313,25.3283
1.6168,12.0509
0.6092,9.9968
0.1953,4.7314
1.3685,17.5622
0.8803,11.1142
0.2441,5.6754
0.9904,9.9414
0.0688,3.0929
1.8186,22.4324
0.5176,9.2653
1.325,15.8408
0.6234,7.4555
1.0401,14.3653
1.0934,13.2676
0.3697,5.4052
1.9392,26.8496
1.5503,13.9007
1.879,26.0777
1.7897,16.3489
1.1958,16.1211
1.8437,24.069
0.177,4.0078
0.392,6.973
0.0905,5.0931
0.6507,6.2157
0.7774,8.8837
0.5427,9.3544
1.6575,22.1246
0.7135,9.6656
0.5619,9.5937
1.0854,12.239
0.2818,4.6781
1.6044,18.2184
0.1491,2.7017
1.9738,21.1302
1.5445,21.8628
0.3974,4.4269
0.011,1.6689
1.6309,16.5618
1.4137,21.2602
1.458,16.3327
1.5425,20.6701
0.1481,5.9764
0.7169,7.5272
0.2317,5.1408
1.7262,22.0277
1.2466,16.5143
0.6618,11.6072
0.1271,5.366
0.622,8.0246
0.6504,6.5539
1.4592,18.1735
1.2751,13.4486
1.7744,21.8269
0.9444,12.5514
0.2392,5.4066
1.4265,20.7527
1.5216,12.8942
1.1226,10.2044
1.5419,18.9154
0.9876,12.1825
1.0455,14.0845
0.8551,11.0854
0.0508,4.2197
0.2158,4.9581
0.0629,4.482
1.2728,14.9913
0.6287,9.879
1.0171,11.0056
1.8151,20.3033
0.4986,5.1357
0.8208,10.71
1.5111,14.1777
0.4576,6.3402
0.154,5.6291
0.5795,8.3104
0.3224,5.0216
1.8594,18.4507
1.6162,16.8623
1.2668,12.9686
1.7429,16.7891
1.6073,16.9237
0.3731,8.0226
1.7851,19.0968
1.0787,14.279
1.6149,22.3849
1.7922,20.4123
0.636,8.8002
0.2201,5.5688
0.4559,8.3388
0.8542,10.7308
1.636,20.3741
1.7215,15.772
0.0139,3.7167
1.0215,14.6765
0.8348,11.123
0.4442,7.6874
0.2397,5.7392
0.6752,9.6659
1.8858,19.5829
0.6464,7.4148
1.0376,11.8429
1.406,16.8073
0.7273,10.4535
1.9436,21.5352
1.9249,26.9064
0.5036,10.0141
0.9945,17.8978
0.6018,6.1275
0.5697,11.2087
0.0738,1.9225
1.2191,17.2189
1.0054,11.6354
0.103,0.9706
0.5573,8.8521
1.8165,12.1488
0.4791,4.677
0.2898,6.5098
0.9789,14.67
1.9713,24.2557
0.4841,10.4873
1.3443,20.011
1.5232,15.5485
0.4753,5.4839
1.4564,19.0195
0.7356,8.6694
1.2646,19.7198
1.2671,18.5045
1.0715,13.2356
0.1806,2.2152
1.6706,20.5589
0.6416,8.6667
0.373,9.2226
0.0816,4.1049
1.1818,11.2224
1.3551,13.6382
0.0332,3.2479
1.0242,12.1812
0.453,8.3294
1.2903,11.5591
0.3487,5.573
1.3819,17.3294
0.7735,9.0689
1.8735,21.5193
0.275,4.2849
0.6821,6.1164
0.2269,7.4155
1.8494,20.1085
1.7547,17.0357
0.5159,10.5836
1.32,13.3968
1.6344,22.5764
1.1104,11.09
1.0593,18.7314
0.4837,6.8502
0.1862,2.487
1.7944,23.5331
1.8008,23.8266
1.2662,17.5129
0.6781,7.8354
0.6984,11.8683
1.4519,19.3561
1.7942,14.6799
1.7742,15.3956
1.5598,11.8202
1.2841,13.6557
0.1683,4.76
0.3233,8.0083
1.7971,21.4599
1.2129,18.6147
0.0184,4.6444
0.2029,5.603
1.327,17.5183
0.0101,0.3542
0.3216,5.1041
1.0975,9.8465
1.3838,15.6781
1.3039,13.3363
0.4485,9.8848
1.4244,15.6128
0.4745,5.5133
0.6508,10.5635
1.493,14.1442
1.2993,14.6946
1.6984,23.7089
1.3152,10.9381
1.1366,12.7149
0.1873,2.2594
0.7354,11.1499
0.5304,5.5487
0.488,5.8876
1.946,21.7669
0.7862,8.0072
1.7841,23.4258
1.2623,14.5547
1.5896,14.1635
1.0053,13.1825
1.1538,13.4383
0.985,11.0747
0.3905,8.5218
1.4449,20.5533
0.5615,7.4559
0.0486,2.6124
1.2909,16.6561
0.3542,6.3327
1.8809,17.9737
1.9079,26.2476
1.8297,25.589
0.7403,11.7669
0.0309,1.8506
1.8566,20.6996
0.8564,13.4347
1.9333,24.5571
1.9272,21.0909
1.706,14.5519
0.5889,5.7755
0.7702,9.9389
1.7023,19.5106
0.6338,9.5189
0.339,3.4885
1.1136,10.9474
1.8723,27.5186
1.3921,18.7793
1.1401,14.6967
0.1944,6.804
1.23,14.0071
1.9801,20.1116
0.2802,6.7822
1.0367,11.4461
1.7547,17.5219
1.4815,14.3186
1.394,12.7836
1.405,11.0876
0.719,9.3702
0.5872,12.499
1.6187,16.421
1.6202,18.8743
1.7341,19.909
1.8265,17.0522
1.0227,9.9067
1.003,10.6399
1.5966,16.0652
1.2999,12.9955
1.4039,17.2568
1.5916,19.3739
1.78,20.5824
0.676,10.5559
0.7512,9.263
0.188,6.3048
1.1566,15.9392
0.0719,4.339
0.9312,10.7596
1.0853,14.858
0.5731,7.9658
1.1817,15.3999
0.061,4.7428
0.0747,3.3784
1.6452,15.3131
0.7204,5.3636
0.2541,2.957
1.0445,13.4217
1.54,18.0752
0.4316,7.2222
1.2458,15.4424
0.1707,4.9064
