v1 (m/s),v2 (m/s),vf (m/s)
-2.5092,-8.9664,-5.3791
9.0143,0.6271,5.2866
4.6399,0.8127,2.9389
1.9732,2.7486,2.3178
-6.8796,4.5218,-1.8123
-6.8801,9.517,0.4075
-8.8383,0.326,-4.7653
7.3235,-3.5409,2.4949
2.0223,5.9037,3.7474
4.1615,-4.5834,0.2749
-9.5883,-1.2206,-5.8693
9.3982,-8.4309,1.4742
6.6489,-9.493,-0.5253
-5.7532,9.253,0.9162
-6.3635,6.7196,-0.5488
-6.3319,3.9195,-1.7757
-3.9152,-1.8209,-2.9844
0.4951,-6.5341,-2.629
-1.3611,-6.8713,-3.8101
-4.1754,-4.9951,-4.5397
2.2371,0.9845,1.6804
-7.2101,4.2919,-2.0981
-4.1571,3.2039,-0.8855
-2.6728,-4.4013,-3.441
-0.8786,9.0973,3.5551
5.7035,4.7579,5.2833
-6.0065,1.0871,-2.8538
0.2847,2.2344,1.1512
1.8483,-1.608,0.3122
-9.071,-5.0454,-7.2818
2.1509,-2.8805,-0.0853
-6.5895,5.1569,-1.3689
-8.699,-9.7121,-9.1493
8.9777,-7.6785,1.5749
9.3126,-9.0799,1.1382
6.1679,-9.1854,-0.6558
-3.9077,7.1092,0.9887
-8.0466,4.0732,-2.66
3.6847,-0.5165,1.8175
-1.197,-8.0433,-4.2398
-7.5592,-0.1677,-4.2741
-0.0965,-0.5306,-0.2894
-9.3122,-6.536,-8.0783
8.1864,-1.323,3.96
-4.8244,-2.0299,-3.5824
3.2504,2.317,2.8356
-3.7658,2.7019,-0.8913
0.4014,-9.0939,-3.8188
0.9342,-2.5077,-0.5956
-6.3029,2.5172,-2.3829
9.3917,0.0627,5.2455
5.5027,7.1298,6.2258
8.79,3.1739,6.2939
7.8965,-6.7413,1.3908
1.958,-8.5886,-2.7294
8.4375,2.8484,5.9534
-8.2301,-9.4698,-8.7811
-6.0803,1.7155,-2.6155
-9.0955,8.8046,-1.1399
-3.4934,1.5095,-1.2699
-2.2265,-2.2366,-2.231
-4.573,2.8658,-1.2669
6.5748,-0.8349,3.2816
-2.8649,0.9123,-1.1861
-4.3813,8.8293,1.4901
0.8539,-2.2779,-0.538
-7.1815,9.2238,0.1097
6.0439,8.107,6.9609
-8.509,-6.0842,-7.4313
9.7377,-8.6128,1.582
5.4449,-7.9844,-0.5237
-6.0257,-9.6356,-7.6301
-9.8896,-8.1111,-9.0992
6.3092,3.6601,5.1319
4.1371,-8.5762,-1.5132
4.5801,-3.6205,0.9354
5.4254,6.8975,6.0797
-8.5191,-9.5346,-8.9704
-2.8307,6.2894,1.2227
-7.6826,-4.3629,-6.2072
7.2621,-7.6367,0.6404
2.466,3.9347,3.1188
-3.382,2.5789,-0.7328
-8.7288,7.5494,-1.494
-3.7804,4.7014,-0.0107
-3.4963,6.0696,0.7552
4.5921,-4.3593,0.6137
2.7511,-6.4512,-1.3388
7.7443,5.0123,6.5301
-0.5557,6.1367,2.4187
-7.6081,9.8101,0.1333
4.2649,-1.7476,1.5927
5.2157,-2.5596,1.76
1.2255,5.5283,3.1379
5.4193,-3.1839,1.5957
-0.1241,8.6151,3.76
0.4547,7.1683,3.4385
-1.4492,-1.4201,-1.4363
-9.4916,5.0174,-3.0432
-7.8422,5.0909,-2.0942
-9.3714,-7.9375,-8.7341
2.7282,8.0511,5.0939
-3.7129,0.105,-2.016
0.1714,6.5291,2.9971
8.1513,-3.599,2.929
-5.0142,7.9105,0.7301
-1.7923,-2.216,-1.9806
5.111,-9.7832,-1.5087
-5.424,8.1076,0.59
-8.4604,-8.1743,-8.3332
-4.205,-3.6137,-3.9422
-6.7756,9.0012,0.2363
8.594,9.0121,8.7798
6.1624,1.4688,4.0763
2.6681,2.6367,2.6542
7.4292,-1.0311,3.6691
6.0734,-4.1358,1.536
-6.2686,-3.4267,-5.0055
7.8512,3.4504,5.8953
0.7868,5.0475,2.6805
6.1488,5.8316,6.0078
7.9218,5.7924,6.9754
-3.6399,-8.1759,-5.6559
