v1x (m/s),v1y (m/s),v2x (m/s),v2y (m/s),vfx (m/s),vfy (m/s)
-2.5092,-8.9664,-6.6213,-5.8423,-4.154,-7.7167
9.0143,0.6271,-4.4282,-9.4694,3.6373,-3.4115
4.6399,0.8127,-6.4598,-6.3713,0.2,-2.0609
1.9732,2.7486,-8.2259,1.6608,-2.1065,2.3135
-6.8796,4.5218,-7.5873,-1.5715,-7.1627,2.0845
-6.8801,9.517,-0.7844,7.8534,-4.4418,8.8516
-8.8383,0.326,-5.8733,6.3489,-7.6523,2.7352
7.3235,-3.5409,-2.7146,-3.1637,3.3083,-3.39
2.0223,5.9037,0.0683,-4.8115,1.2407,1.6176
4.1615,-4.5834,3.8079,-2.4062,4.02,-3.7125
-9.5883,-1.2206,-9.2138,1.8059,-9.4385,-0.01
9.3982,-8.4309,5.9882,-4.6387,8.0342,-6.914
6.6489,-9.493,2.558,2.483,5.0125,-4.7026
-5.7532,9.253,-8.3648,-1.8118,-6.7979,4.8271
-6.3635,6.7196,7.4716,1.0409,-0.8295,4.4481
-6.3319,3.9195,8.4174,-1.2775,-0.4322,1.8407
-3.9152,-1.8209,-8.7784,-4.1107,-5.8605,-2.7368
0.4951,-6.5341,-4.4624,8.9691,-1.4879,-0.3328
-1.3611,-6.8713,6.124,5.2721,1.633,-2.0139
-4.1754,-4.9951,4.9652,-7.1977,-0.5192,-5.8762
2.2371,0.9845,-6.3096,7.3694,-1.1816,3.5385
-7.2101,4.2919,-5.813,-0.2514,-6.6513,2.4746
-4.1571,3.2039,-2.5906,7.891,-3.5305,5.0788
-2.6728,-4.4013,-0.3095,5.9971,-1.7275,-0.242
-0.8786,9.0973,2.3651,-1.4957,0.4189,4.8601
5.7035,4.7579,-2.6217,-9.5506,2.3734,-0.9655
-6.0065,1.0871,-0.7493,-4.6265,-3.9036,-1.1983
0.2847,2.2344,4.9494,0.8327,2.1506,1.6737
1.8483,-1.608,-9.2663,2.6696,-2.5976,0.103
-9.071,-5.0454,-4.9513,-4.8422,-7.4231,-4.9641
2.1509,-2.8805,4.267,-7.2129,2.9973,-4.6135
-6.5895,5.1569,7.9041,6.6986,-0.7921,5.7736
-8.699,-9.7121,0.2335,9.688,-5.126,-1.9521
8.9777,-7.6785,0.6423,0.5138,5.6435,-4.4016
9.3126,-9.0799,-7.8566,-6.5664,2.445,-8.0745
6.1679,-9.1854,-1.0518,-4.5539,3.2801,-7.3328
-3.9077,7.1092,0.6523,-9.6322,-2.0837,0.4127
-8.0466,4.0732,-5.1506,8.286,-6.8882,5.7583
3.6847,-0.5165,-4.6151,-7.645,0.3647,-3.3679
-1.197,-8.0433,-2.4543,1.5303,-1.6999,-4.2139
-7.5592,-0.1677,-9.5986,-4.5189,-8.375,-1.9082
-0.0965,-0.5306,-3.5584,1.0836,-1.4812,0.1151
-9.3122,-6.536,-5.771,3.0284,-7.8958,-2.7102
8.1864,-1.323,-3.4501,6.5948,3.5318,1.8442
-4.8244,-2.0299,-7.6048,-5.8716,-5.9365,-3.5666
3.2504,2.317,7.8105,-9.7801,5.0745,-2.5218
-3.7658,2.7019,1.8718,-7.2623,-1.5107,-1.2838
0.4014,-9.0939,3.582,8.0004,1.6736,-2.2562
0.9342,-2.5077,5.7834,7.4778,2.8739,1.4865
-6.3029,2.5172,-0.0312,1.9483,-3.7942,2.2896
9.3917,0.0627,-8.2616,2.0103,2.3304,0.8418
5.5027,7.1298,0.7421,3.3007,3.5984,5.5982
8.79,3.1739,1.7368,-6.4926,5.9687,-0.6927
7.8965,-6.7413,4.9088,8.2882,6.7014,-0.7295
1.958,-8.5886,-1.3668,-1.6246,0.6281,-5.803
8.4375,2.8484,-7.4484,-2.3372,2.0831,0.7741
-8.2301,-9.4698,-4.3245,0.3784,-6.6679,-5.5305
-6.0803,1.7155,-2.7384,-9.0607,-4.7435,-2.595
-9.0955,8.8046,2.9183,-6.6743,-4.2899,2.613
-3.4934,1.5095,1.4156,4.7607,-1.5298,2.81
-2.2265,-2.2366,-2.8781,-8.344,-2.4871,-4.6796
-4.573,2.8658,9.7303,2.063,1.1483,2.5447
6.5748,-0.8349,2.1155,-5.093,4.791,-2.5382
-2.8649,0.9123,-5.2555,-2.2141,-3.8211,-0.3382
-4.3813,8.8293,-7.9644,-4.2261,-5.8145,3.6071
0.8539,-2.2779,-6.9428,-2.8865,-2.2648,-2.5214
-7.1815,9.2238,-5.0808,4.3809,-6.3412,7.2867
6.0439,8.107,-6.7864,-4.0576,0.9118,3.2412
-8.509,-6.0842,-6.2687,1.3281,-7.6129,-3.1193
9.7377,-8.6128,-4.2981,-0.479,4.1234,-5.3593
5.4449,-7.9844,-6.5325,3.2734,0.6539,-3.4813
-6.0257,-9.6356,7.9353,8.7366,-0.4413,-2.2867
-9.8896,-8.1111,-8.3953,4.6514,-9.2919,-3.0061
6.3092,3.6601,0.4902,-5.7012,3.9816,-0.0844
4.1371,-8.5762,-1.7921,-9.3763,1.7655,-8.8963
4.5801,-3.6205,9.6476,-4.7547,6.6071,-4.0742
5.4254,6.8975,-7.7592,1.9016,0.1516,4.8991
-8.5191,-9.5346,-2.0429,-8.9715,-5.9286,-9.3093
-2.8307,6.2894,9.3894,-0.0727,2.0574,3.7446
-7.6826,-4.3629,7.3101,1.9369,-1.6855,-1.843
7.2621,-7.6367,6.3414,-3.3151,6.8938,-5.9081
2.466,3.9347,-4.8419,5.4182,-0.4572,4.5281
-3.382,2.5789,-6.5822,-7.868,-4.6621,-1.5999
-8.7288,7.5494,3.3729,-8.4972,-3.8882,1.1308
-3.7804,4.7014,8.5875,4.5638,1.1668,4.6464
-3.4963,6.0696,1.1353,-0.0902,-1.6437,3.6057
4.5921,-4.3593,1.4323,3.768,3.3282,-1.1084
2.7511,-6.4512,-4.4004,-1.3035,-0.1095,-4.3921
7.7443,5.0123,5.3899,-5.072,6.8025,0.9786
-0.5557,6.1367,-6.2591,6.382,-2.8371,6.2348
-7.6081,9.8101,-3.5264,5.9883,-5.9754,8.2814
4.2649,-1.7476,-1.4913,3.8939,1.9624,0.509
5.2157,-2.5596,0.1522,-4.5571,3.1903,-3.3586
1.2255,5.5283,-5.1518,1.8046,-1.3254,4.0388
5.4193,-3.1839,-7.7033,-2.7805,0.1703,-3.0226
-0.1241,8.6151,2.2124,-8.1684,0.8105,1.9017
0.4547,7.1683,-4.2274,8.3463,-1.4182,7.6395
-1.4492,-1.4201,1.6248,-7.2636,-0.2196,-3.7575
-9.4916,5.0174,-6.9127,9.0047,-8.4601,6.6124
-7.8422,5.0909,-0.3772,-1.0799,-4.8562,2.6226
-9.3714,-7.9375,0.6518,-6.2973,-5.3621,-7.2815
2.7282,8.0511,-8.9635,0.838,-1.9485,5.1658
-3.7129,0.105,-3.2679,7.4589,-3.5349,3.0466
0.1714,6.5291,-7.3117,4.6445,-2.8218,5.7753
8.1513,-3.599,-8.7325,6.1312,1.3978,0.2931
-5.0142,7.9105,9.7992,3.1757,0.9112,6.0165
-1.7923,-2.216,-3.5529,3.8455,-2.4966,0.2086
5.111,-9.7832,6.1975,6.9839,5.5456,-3.0764
-5.424,8.1076,-4.9072,-5.0066,-5.2173,2.8619
-8.4604,-8.1743,3.6301,-0.2115,-3.6242,-4.9892
-4.205,-3.6137,5.2046,-5.5758,-0.4412,-4.3986
-6.7756,9.0012,1.9128,9.7534,-3.3002,9.3021
8.594,9.0121,-0.5685,8.8812,4.929,8.9598
6.1624,1.4688,-1.7632,-9.2115,2.9922,-2.8033
2.6681,2.6367,-3.0226,4.1115,0.3918,3.2266
7.4292,-1.0311,8.5906,8.505,7.8938,2.7833
6.0734,-4.1358,6.6124,-6.3885,6.289,-5.0369
-6.2686,-3.4267,9.3005,1.3589,-0.0409,-1.5125
7.8512,3.4504,-7.5141,8.3098,1.7051,5.3941
0.7868,5.0475,4.6173,-9.3211,2.319,-0.6999
6.1488,5.8316,8.7668,3.9484,7.196,5.0783
7.9218,5.7924,-6.3753,-4.053,2.203,1.8542
-3.6399,-8.1759,-8.6701,8.4879,-5.652,-1.5104
-7.799,-0.1116,4.8224,9.4212,-2.7504,3.7015
-5.4413,-8.8488,1.4895,8.8853,-2.669,-1.7552
-1.4578,0.9906,6.8366,-0.5157,1.8599,0.3881
6.3603,-1.1694,-7.2046,7.2409,0.9344,2.1947
7.2146,7.7541,5.9053,6.891,6.6909,7.4088
-9.861,-2.9817,-5.9675,-3.618,-8.3036,-3.2362
0.2149,-7.6587,-6.7269,6.5783,-2.5618,-1.9639
-1.6518,-7.1402,-6.7147,-9.2598,-3.6769,-7.988
-5.5578,5.2302,6.2915,1.9254,-0.8181,3.9083
-7.6027,2.3644,3.3039,-5.3998,-3.24,-0.7413
-3.2477,-7.9775,0.4613,-7.5887,-1.7641,-7.822
8.8582,-8.3179,-2.8234,-8.4609,4.1856,-8.3751
-3.5359,4.0194,7.544,3.9258,0.896,3.9819
0.3758,-8.5447,-2.1511,-3.2025,-0.635,-6.4078
4.0604,6.4372,6.332,4.4953,4.969,5.6605
-2.7274,4.1248,-1.2173,-8.6929,-2.1234,-1.0022
9.4356,-8.373,-2.4611,-3.6942,4.6769,-6.5015
9.2489,-8.3032,-0.7464,0.7898,5.2508,-4.666
-4.9644,9.7328,-3.9724,5.8145,-4.5676,8.1655
-0.055,-2.5146,4.9522,-3.6249,1.9479,-2.9587
-3.9824,-2.5872,0.0544,2.5178,-2.3677,-0.5452
-4.3032,6.256,-5.3557,7.7196,-4.7242,6.8414
-9.2623,8.945,7.9915,2.3173,-2.3608,6.2939
2.1913,9.72,-2.3222,-5.3408,0.3859,3.6957
0.0536,5.0676,0.8711,-9.512,0.3806,-0.7643
-8.9704,-2.4748,8.1294,7.402,-2.1305,1.4759
-4.4271,-8.33,2.4848,-9.5746,-1.6623,-8.8278
8.1653,5.5429,-7.662,7.494,1.8344,6.3234
-5.2088,1.1681,8.7966,0.5787,0.3934,0.9323
-7.1021,-1.5156,2.5542,8.7814,-3.2396,2.6032
-0.2109,8.1271,-3.3019,5.9757,-1.4473,7.2665
9.713,-7.7761,-7.2146,9.9587,2.942,-0.6822
-5.1589,-0.1475,5.8805,-2.9858,-0.7431,-1.2828
3.4427,-9.7729,2.4015,5.3438,3.0262,-3.7262
5.2324,-0.6268,0.6692,-1.9614,3.4071,-1.1606
