Voltage (V),Current (A)
0.1012,0.0001
0.1104,0.0001
0.139,0.0001
0.1839,0.0
0.3091,0.0003
0.3318,0.0002
0.4117,0.0003
0.4863,0.0002
0.5084,0.0003
0.61,0.0003
0.6286,0.0004
0.6878,0.0003
0.7188,0.0003
0.7377,0.0005
0.747,0.0005
0.8155,0.0003
0.9045,0.0006
0.929,0.0006
1.0296,0.0006
1.1617,0.0007
1.2712,0.0008
1.301,0.0008
1.4809,0.0009
1.491,0.0008
1.5396,0.001
1.6828,0.0012
1.7069,0.0009
1.7699,0.0012
1.8058,0.0009
1.8621,0.0012
1.8735,0.0011
1.8796,0.0013
1.9435,0.0015
1.9534,0.0013
2.0294,0.001
2.1578,0.0012
2.201,0.0012
2.2695,0.0016
2.3174,0.0017
2.3919,0.0014
2.3973,0.0016
2.4408,0.0017
2.5412,0.0014
2.7504,0.0016
2.7899,0.002
2.8017,0.002
2.8185,0.0019
2.8979,0.0017
3.1199,0.002
3.1204,0.0016
3.2162,0.002
3.2244,0.002
3.2326,0.0023
3.3899,0.002
3.4105,0.002
3.4873,0.0022
3.5422,0.0018
3.6365,0.0022
3.6681,0.0022
3.6971,0.0025
3.7304,0.0026
3.7314,0.0023
3.9049,0.0026
3.9197,0.0024
3.9743,0.0027
3.9935,0.0026
4.2468,0.0026
4.3164,0.0026
4.4422,0.0029
4.4854,0.003
4.5299,0.003
4.5587,0.0029
4.576,0.0027
4.745,0.0028
4.7528,0.0028
4.7912,0.0029
4.837,0.0035
4.8411,0.0035
4.8798,0.0029
4.9858,0.0031
5.0356,0.0034
5.1588,0.0036
5.1756,0.0033
5.304,0.0034
5.427,0.0037
5.5729,0.0034
5.6154,0.0035
5.6187,0.0038
5.6968,0.0038
5.7308,0.0033
5.795,0.0038
5.8246,0.0039
5.8429,0.0034
5.8718,0.0042
5.889,0.0034
6.0176,0.0036
6.0848,0.0043
6.0923,0.0038
6.2196,0.0041
6.2342,0.004
6.2871,0.0043
6.3384,0.0037
6.3601,0.0041
6.4156,0.0041
6.4641,0.0041
6.5037,0.0041
6.5066,0.004
6.508,0.004
6.618,0.0046
6.7523,0.0042
6.7599,0.0041
6.7806,0.0041
6.8213,0.0039
6.9842,0.0046
7.1351,0.0044
7.1693,0.0045
7.1898,0.0048
7.2038,0.0041
7.2726,0.0046
7.3272,0.0045
7.3543,0.0045
7.3557,0.0043
7.4032,0.0047
7.4908,0.0048
7.5117,0.0046
7.702,0.005
7.7347,0.0051
7.7735,0.0048
7.862,0.0047
8.2077,0.0054
8.3482,0.0053
8.5422,0.0054
8.5508,0.0057
8.5637,0.0064
8.6389,0.0051
8.803,0.0052
9.1214,0.0062
9.312,0.006
9.4443,0.0062
9.7891,0.0063
9.8504,0.0062
9.8759,0.0066
9.9035,0.0063
9.945,0.0071
10.0303,0.0061
10.0527,0.0065
10.0536,0.0061
10.1714,0.0064
10.2149,0.0071
10.2268,0.0063
10.2419,0.0064
10.2847,0.0068
10.3666,0.0068
10.3758,0.0067
10.4014,0.0065
10.4449,0.0067
10.4547,0.0069
10.4951,0.0068
10.593,0.0075
10.7155,0.0067
10.7868,0.0074
10.8529,0.0072
10.8539,0.007
10.9342,0.007
10.9747,0.0062
11.104,0.0071
11.136,0.0067
11.2255,0.0067
11.3662,0.0074
11.4012,0.0073
11.5381,0.0073
11.5656,0.0076
11.8167,0.0078
11.8179,0.0073
11.8483,0.0072
11.958,0.0076
11.9732,0.0079
12.0223,0.0074
12.1286,0.0084
12.1509,0.0064
12.1913,0.0087
12.2371,0.0087
12.3001,0.0079
12.4578,0.0082
12.466,0.0083
12.6228,0.0081
12.6461,0.0088
12.662,0.0087
12.6681,0.0075
12.6706,0.0086
12.7282,0.0078
12.7511,0.0081
12.8406,0.0081
12.9035,0.0078
12.9094,0.0081
12.9927,0.0083
12.9993,0.0079
13.0392,0.0078
13.1523,0.008
13.1997,0.0085
13.2504,0.0082
13.27,0.0084
13.4427,0.009
13.5513,0.0087
13.6847,0.0094
13.8188,0.0089
13.8379,0.0088
13.9206,0.0093
13.9403,0.0085
14.0393,0.0091
14.0497,0.0083
14.0604,0.0086
14.1371,0.0096
14.1615,0.009
14.2436,0.0093
14.2649,0.0101
14.449,0.0096
14.5191,0.0098
14.5643,0.0095
14.5801,0.009
14.5921,0.0095
14.6399,0.0103
14.8154,0.0094
14.9298,0.009
15.111,0.0094
15.2157,0.0092
15.2324,0.0094
15.3999,0.01
15.4193,0.0104
15.4254,0.0101
15.4449,0.0102
15.5027,0.0093
15.5975,0.009
15.7035,0.0097
15.8962,0.0098
15.9159,0.0101
15.9659,0.0102
16.0439,0.0106
16.0734,0.0099
16.1488,0.0107
16.1624,0.0104
16.1679,0.0096
16.1872,0.0096
16.2023,0.0106
16.3092,0.0105
16.3444,0.011
16.3603,0.0106
16.452,0.0101
16.5748,0.0108
16.6489,0.01
16.706,0.0114
16.9845,0.0113
17.0227,0.0105
17.0602,0.0104
17.2146,0.0105
17.2621,0.0115
17.3235,0.0115
17.3414,0.0107
17.4292,0.0104
17.5468,0.0108
17.5475,0.0106
17.7417,0.0107
17.7443,0.0114
17.8001,0.0112
17.8409,0.0125
17.8512,0.0116
17.8965,0.0104
17.9218,0.0113
17.9422,0.0105
17.9443,0.012
17.9711,0.0115
