Time (s),Speed (m/s),Position (m)
0.0202,0.2118,-0.0112
0.0221,0.2159,-0.0032
0.0278,0.2953,-0.0187
0.0368,0.2862,-0.0814
0.0618,0.6551,-0.0298
0.0664,0.6551,-0.0174
0.0823,0.8627,-0.0217
0.0973,0.8812,-0.1194
0.1017,0.9958,-0.0523
0.122,1.0932,-0.1766
0.1257,1.2455,-0.0653
0.1376,1.1776,-0.2646
0.1438,1.2319,-0.2798
0.1475,1.4817,-0.0725
0.1494,1.5735,-0.0015
0.1631,1.272,-0.4585
0.1809,1.7275,-0.2078
0.1858,1.8088,-0.1832
0.2059,1.8041,-0.4239
0.2323,2.0881,-0.4559
0.2542,2.5006,-0.3104
0.2602,2.4712,-0.4135
0.2962,2.8316,-0.5042
0.2982,2.6204,-0.7411
0.3079,3.1132,-0.3726
0.3366,3.5986,-0.2586
0.3414,2.6517,-1.2689
0.354,3.5946,-0.4924
0.3612,2.7834,-1.3994
0.3724,3.5396,-0.794
0.3747,3.4321,-0.9324
0.3759,4.0362,-0.3449
0.3887,4.5183,-0.036
0.3907,3.8953,-0.6861
0.4059,3.1351,-1.6548
0.4316,3.76,-1.3872
0.4402,3.7788,-1.4901
0.4539,5.1614,-0.3018
0.4635,5.1688,-0.4315
0.4784,4.215,-1.6004
0.4795,5.1075,-0.7236
0.4882,5.4818,-0.4758
0.5082,3.977,-2.2759
0.5501,4.6427,-2.2378
0.558,6.1754,-0.8255
0.5603,6.5363,-0.5007
0.5637,6.0878,-1.0006
0.5796,5.1501,-2.1832
0.624,6.2627,-1.7683
0.6241,4.5853,-3.4472
0.6432,6.2845,-2.055
0.6449,5.9289,-2.4372
0.6465,7.5229,-0.8696
0.678,6.1184,-2.7871
0.6821,5.8426,-3.1308
0.6975,6.7215,-2.5067
0.7084,4.9699,-4.4417
0.7273,6.7155,-3.0138
0.7336,6.6151,-3.2215
0.7394,7.8478,-2.0876
0.7461,8.4396,-1.6097
0.7463,7.1277,-2.925
0.781,8.2431,-2.4099
0.7839,7.0984,-3.6064
0.7949,8.3859,-2.5107
0.7987,8.265,-2.6992
0.8494,7.9879,-3.8828
0.8633,7.523,-4.6014
0.8884,9.1478,-3.4393
0.8971,9.5279,-3.2197
0.906,9.5711,-3.3427
0.9117,8.9237,-4.0978
0.9152,8.0668,-5.0195
0.949,8.2299,-5.4971
0.9506,8.2911,-5.4657
0.9582,8.7906,-5.1138
0.9674,11.5456,-2.5352
0.9682,11.6969,-2.3996
0.976,8.3514,-5.8948
0.9972,9.3944,-5.2651
1.0071,11.0489,-3.8063
1.0318,12.0577,-3.2856
1.0351,10.4038,-5.0063
1.0608,10.2692,-5.657
1.0854,11.7628,-4.6634
1.1146,10.1264,-6.9012
1.1231,10.2972,-6.9071
1.1237,12.246,-4.9719
1.1394,12.3785,-5.166
1.1462,8.9311,-8.7565
1.159,11.713,-6.2457
1.1649,12.7201,-5.364
1.1686,9.318,-8.8439
1.1744,14.2305,-4.0548
1.1778,9.2676,-9.0908
1.2035,10.6906,-8.2205
1.217,14.5343,-4.6685
1.2185,11.3052,-7.9299
1.2439,13.2277,-6.565
1.2468,12.3367,-7.5203
1.2574,13.8164,-6.2743
1.2677,10.2582,-10.0603
1.272,12.4492,-7.9656
1.2831,12.4099,-8.2531
1.2928,12.7021,-8.1784
1.3007,12.2728,-8.7862
1.3013,11.9912,-9.0811
1.3016,11.9609,-9.1176
1.3236,15.071,-6.5065
1.3505,12.5938,-9.5997
1.352,11.7814,-10.4471
1.3561,11.7236,-10.6005
1.3643,10.8566,-11.6562
1.3968,14.8598,-8.4136
1.427,12.8055,-11.1819
1.4339,13.6895,-10.4612
1.438,15.7139,-8.5348
1.4408,10.9953,-13.3203
1.4545,14.3119,-10.3341
1.4654,13.5197,-11.39
1.4709,13.0218,-12.019
1.4711,12.0879,-12.9594
1.4806,14.0801,-11.1981
1.4982,14.7793,-10.9268
1.5023,13.6923,-12.1162
1.5404,15.4894,-11.2605
1.5469,16.1356,-10.7777
1.5547,14.1463,-12.9614
1.5724,13.1529,-14.3994
1.6415,16.921,-12.3996
1.6696,16.1602,-13.8927
1.7084,16.165,-14.9111
1.7102,18.0725,-13.0497
1.7127,23.1607,-8.0299
1.7278,14.3227,-17.2694
1.7606,14.2236,-18.2522
1.8243,20.6823,-13.5377
1.8624,18.4931,-16.79
1.8889,19.8847,-16.1451
1.9578,19.561,-18.4461
1.9701,18.8018,-19.5618
1.9752,21.2609,-17.2518
1.9807,19.4552,-19.2189
1.989,24.6728,-14.2439
2.0061,17.591,-21.8277
2.0105,20.2419,-19.3091
2.0107,17.7667,-21.7892
2.0343,19.5959,-20.6589
2.043,23.8147,-16.6995
2.0454,18.6052,-21.9802
2.0484,18.9837,-21.6913
2.0569,22.0984,-18.8332
2.0733,21.6854,-19.7387
2.0752,20.6016,-20.8782
2.0803,19.4417,-22.1923
