t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
0.00,0.50000,0.00000,1.00000,0.00000,1.58740,0.00000,4.00000,0.00000,10.00000,0.00000
0.01,0.49969,0.08906,0.99506,0.06283,1.58661,0.04987,3.99846,0.03504,9.99898,0.00222
0.02,0.49877,0.17804,0.98020,0.12560,1.58428,0.09971,3.99385,0.07005,9.99592,0.00444
0.03,0.49725,0.26685,0.95551,0.18821,1.58042,0.14951,3.98616,0.10502,9.99081,0.00665
0.04,0.49513,0.35541,0.92110,0.25059,1.57502,0.19924,3.97541,0.13992,9.98365,0.00887
0.05,0.49242,0.44365,0.87714,0.31265,1.56807,0.24888,3.96160,0.17475,9.97444,0.01108
0.06,0.48912,0.53147,0.82387,0.37430,1.55959,0.29841,3.94474,0.20946,9.96319,0.01329
0.07,0.48524,0.61877,0.76159,0.43542,1.54957,0.34780,3.92484,0.24402,9.94989,0.01549
0.08,0.48079,0.70546,0.69055,0.49591,1.53804,0.39702,3.90192,0.27841,9.93455,0.01768
0.09,0.47578,0.79143,0.61109,0.55566,1.52500,0.44605,3.87600,0.31260,9.91718,0.01987
0.10,0.47023,0.87658,0.52358,0.61456,1.51049,0.49486,3.84711,0.34657,9.89779,0.02205
0.11,0.46415,0.96082,0.42845,0.67250,1.49453,0.54342,3.81527,0.38029,9.87638,0.02422
0.12,0.45756,1.04403,0.32620,0.72935,1.47716,0.59170,3.78052,0.41374,9.85297,0.02638
0.13,0.45046,1.12613,0.21738,0.78499,1.45840,0.63968,3.74289,0.44690,9.82756,0.02854
0.14,0.44288,1.20698,0.10260,0.83930,1.43828,0.68733,3.70243,0.47975,9.80017,0.03068
0.15,0.43484,1.28652,-0.02047,0.89218,1.41685,0.73464,3.65917,0.51227,9.77082,0.03282
0.16,0.42634,1.36467,-0.14881,0.94350,1.39414,0.78158,3.61317,0.54445,9.73952,0.03494
0.17,0.41740,1.44136,-0.28189,0.99317,1.37019,0.82813,3.56447,0.57626,9.70630,0.03706
0.18,0.40804,1.51651,-0.41907,1.04107,1.34499,0.87427,3.51314,0.60769,9.67116,0.03916
0.19,0.39828,1.59005,-0.55977,1.08709,1.31860,0.91997,3.45924,0.63872,9.63413,0.04125
0.20,0.38814,1.66191,-0.70335,1.13113,1.29107,0.96521,3.40285,0.66932,9.59523,0.04333
0.21,0.37763,1.73202,-0.84918,1.17308,1.26244,1.01000,3.34404,0.69949,9.55447,0.04539
0.22,0.36677,1.80031,-0.99661,1.21285,1.23274,1.05429,3.28289,0.72921,9.51187,0.04744
0.23,0.35558,1.86672,-1.14498,1.25032,1.20202,1.09808,3.21948,0.75846,9.46745,0.04947
0.24,0.34407,1.93118,-1.29367,1.28540,1.17030,1.14136,3.15392,0.78725,9.42122,0.05149
0.25,0.33226,1.99364,-1.44208,1.31801,1.13763,1.18413,3.08630,0.81555,9.37320,0.05349
0.26,0.32015,2.05404,-1.58963,1.34803,1.10403,1.22638,3.01675,0.84336,9.32341,0.05548
0.27,0.30777,2.11232,-1.73577,1.37538,1.06954,1.26810,2.94537,0.87067,9.27187,0.05745
0.28,0.29513,2.16843,-1.87999,1.40000,1.03419,1.30927,2.87229,0.89746,9.21860,0.05940
0.29,0.28224,2.22232,-2.02179,1.42183,0.99801,1.34990,2.79764,0.92373,9.16363,0.06134
0.30,0.26912,2.27393,-2.16075,1.44080,0.96105,1.39000,2.72154,0.94946,9.10700,0.06325
0.31,0.25579,2.32321,-2.29641,1.45686,0.92333,1.42956,2.64413,0.97463,9.04873,0.06515
0.32,0.24225,2.37012,-2.42838,1.46995,0.88490,1.46857,2.56555,0.99924,8.98884,0.06703
0.33,0.22854,2.41461,-2.55627,1.48004,0.84578,1.50703,2.48593,1.02326,8.92737,0.06889
0.34,0.21466,2.45664,-2.67977,1.48708,0.80601,1.54492,2.40540,1.04669,8.86436,0.07073
0.35,0.20063,2.49618,-2.79862,1.49104,0.76563,1.58223,2.32408,1.06950,8.79983,0.07255
0.36,0.18648,2.53320,-2.91263,1.49187,0.72468,1.61893,2.24211,1.09169,8.73383,0.07436
0.37,0.17222,2.56767,-3.02162,1.48958,0.68319,1.65502,2.15961,1.11324,8.66640,0.07614
0.38,0.15788,2.59957,-3.12543,1.48418,0.64120,1.69047,2.07671,1.13414,8.59756,0.07791
0.39,0.14347,2.62888,-3.22394,1.47570,0.59874,1.72526,1.99351,1.15438,8.52737,0.07965
0.40,0.12900,2.65558,-3.31698,1.46416,0.55586,1.75938,1.91014,1.17393,8.45585,0.08138
0.41,0.11448,2.67965,-3.40445,1.44962,0.51260,1.79282,1.82670,1.19280,8.38304,0.08309
0.42,0.09993,2.70108,-3.48625,1.43213,0.46898,1.82554,1.74332,1.21096,8.30897,0.08477
0.43,0.08535,2.71987,-3.56232,1.41177,0.42507,1.85754,1.66010,1.22841,8.23368,0.08643
0.44,0.07076,2.73600,-3.63255,1.38861,0.38090,1.88879,1.57717,1.24513,8.15721,0.08807
0.45,0.05615,2.74947,-3.69688,1.36275,0.33653,1.91929,1.49463,1.26111,8.07959,0.08969
